10771,Misc.
10777,Web Servers
10778,CGI abuses
10781,CGI abuses
10783, CGI abuses
10784,CGI abuses
10785,Windows
10786, Gain a shell remotely
10787,RPC
10788,Misc.
10790, Gain a shell remotely
10794,Service detection
10796,General
10797, CGI abuses
10798,Windows
10799, CGI abuses
10800,SNMP
10801,CGI abuses
10802,Misc.
10803,CGI abuses
10804, Gain a shell remotely
10805,CGI abuses
10806,Windows : Microsoft Bulletins
10807,CGI abuses
10808,Databases
10809,SMTP problems
10810,CGI abuses
10811,CGI abuses
10812,Gain a shell remotely
10814, CGI abuses
10815,CGI abuses : XSS
10816, CGI abuses : XSS
10817, CGI abuses
10818,CGI abuses
10819,CGI abuses
10820,Misc.
10821, FTP
10822,FTP
10823,Misc.
10826,Netware
10827,Gain a shell remotely
10828,Gain a shell remotely
10829, Service detection
10830,CGI abuses
10831, CGI abuses
10832,RPC
10833,Service detection
10835, Windows : Microsoft Bulletins
10836,CGI abuses : XSS
10837,CGI abuses
10838,CGI abuses : XSS
10839,CGI abuses
10840,Databases
10843,CGI abuses
10844, CGI abuses : XSS
10846,Web Servers
10847,CGI abuses
10848,Databases
10849,Databases
10850,Databases
10851,Databases
10852,Databases
10853, CGI abuses : XSS
10854,Databases
10855,Databases
10856,CGI abuses
10857,SNMP
10858,SNMP
10859,Windows
10860,Windows : User management
10861,Windows : Microsoft Bulletins
10862,Databases
10863,General
10865,Windows : Microsoft Bulletins
10866,Windows : Microsoft Bulletins
10867,Web Servers
10870,Settings
10871,Databases
10881,General
10882,General
10883,Gain a shell remotely
10884,Service detection
10885,SMTP problems
10886, DNS
10888,Web Servers
10889,Settings
10890,Settings
10891,Service detection
10892,Windows : User management
10893,Windows : User management
10894,Windows : User management
10895,Windows : User management
10896,Windows : User management
10897,Windows : User management
10898,Windows : User management
10899,Windows : User management
10900,Windows : User management
10901,Windows : User management
10902,Windows : User management
10903,Windows : User management
10904,Windows : User management
10905,Windows : User management
10906,Windows : User management
10907,Windows : User management
10908,Windows : User management
10910,Windows : User management
10911,Windows : User management
10912,Windows : User management
10913,Windows : User management
10914,Windows : User management
10915,Windows : User management
10916,Windows : User management
10917,Settings
10918,Web Servers
10919,General
10920,Backdoors
10921,Backdoors
10922,CGI abuses
10923,Firewalls
10924,CGI abuses
10925,Databases
10926,Windows : Microsoft Bulletins
10927,Firewalls
10928,FTP
10929,FTP
10930,Web Servers
10931, Windows
10932, Web Servers
10933,FTP
10934,FTP
10935,Web Servers
10936,CGI abuses
10937,Web Servers
10938,Web Servers
10939,Windows
10940,Windows
10941,Denial of Service
10942, Service detection
10943,Windows : Microsoft Bulletins
10944,Windows : Microsoft Bulletins
10945,Windows : Microsoft Bulletins
10946,Peer-To-Peer File Sharing
10947,Web Servers
10948,Misc.
10949,CGI abuses
10950, RPC
10951,Gain a shell remotely
10953,Web Servers
10954,Gain a shell remotely
10956, Web Servers
10957, CGI abuses : XSS
10958,CGI abuses
10959,CGI abuses
10960,CGI abuses
10961,Misc.
10962,Web Servers
10963,Web Servers
10964,Windows : Microsoft Bulletins
10965,Misc.
10966,Gain a shell remotely
10967, Web Servers
10968,CGI abuses
10969,SNMP
10970,CISCO
10971,CISCO
10972,CISCO
10973,CISCO
10974,CISCO
10975,CISCO
10976,CISCO
10977,CISCO
10978,CISCO
10979,CISCO
10980,CISCO
10981,CISCO
10982,CISCO
10983,CISCO
10984,CISCO
10985,CISCO
10986,CISCO
10987,CISCO
10988,Netware
10989,Misc.
10990, FTP
10991, CGI abuses
10993, CGI abuses
10994,SMTP problems
10995,CGI abuses
10996,CGI abuses
10997,CGI abuses
10998,Misc.
10999,CISCO
11000, FTP
11001, CGI abuses
11002, DNS
11003, Backdoors
11004,CGI abuses
11005,Web Servers
11006,Misc.
11007,CGI abuses
11008,Web Servers
11009,Web Servers
11010,CGI abuses : XSS
11011,Windows
11012, CISCO
11013,CISCO
11014,CISCO
11015,Web Servers
11017,CGI abuses
11018,CGI abuses
11019,Service detection
11020,CGI abuses
11021, RPC
11022,Peer-To-Peer File Sharing
11023,Gain a shell remotely
11024, Windows
11026,General
11027, CGI abuses
11028,Web Servers
11029,Windows : Microsoft Bulletins
11030,Web Servers
11031,Gain a shell remotely
11032, Web Servers
11033,General
11035,Web Servers
11037,CGI abuses
11038,Settings
11039,Web Servers
11040, Web Servers
11041,CGI abuses : XSS
11042,CGI abuses : XSS
11043,Web Servers
11044,CGI abuses
11045,FTP
11046,CGI abuses
11047,Web Servers
11048,Web Servers
11049,Windows
11050,CGI abuses
11051, DNS
11052,Firewalls
11053,SMTP problems
11054,Gain a shell remotely
11056,CISCO
11057,General
11058,RPC
11059, Windows
11060,Gain a shell remotely
11061,Web Servers
11062,Web Servers
11063,Web Servers
11064,Web Servers
11065, Web Servers
11066,CGI abuses
11067,Databases
11068,Web Servers
11069, Web Servers
11070, CGI abuses
11071, Web Servers
11072, CGI abuses
11073,CGI abuses
11074,CGI abuses
11075,Web Servers
11076,Databases
11077,Web Servers
11078,Web Servers
11080, SMTP problems
11081,Databases
11082,CGI abuses
11083,CGI abuses
11084, Web Servers
11085, Web Servers
11086,SMTP problems
11087,SMTP problems
11088, SMTP problems
11089,Web Servers
11090,Denial of Service
11091,Windows : Microsoft Bulletins
11092,Web Servers
11093,FTP
11094,FTP
11095,CGI abuses
11096,Gain a shell remotely
11097,FTP
11098,FTP
11099, Web Servers
11100,SMTP problems
11101,CGI abuses
11102,CGI abuses
11104,CGI abuses
11105,Windows
11106,CGI abuses
11107,CGI abuses
11108,Gain a shell remotely
11109, CGI abuses
11110,Windows
11111, Service detection
11112,FTP
11113,Gain a shell remotely
11114,Gain a shell remotely
11115,CGI abuses
11116,CGI abuses
11117,CGI abuses
11118, Backdoors
11119,Windows
11120,Service detection
11121,Service detection
11123,Backdoors
11124,Peer-To-Peer File Sharing
11125,Peer-To-Peer File Sharing
11126,Firewalls
11127, Web Servers
11128,Service detection
11129, Web Servers
11130, Web Servers
11131,CGI abuses
11133, Misc.
11134,Service detection
11135,Backdoors
11136,Gain a shell remotely
11137,Web Servers
11138,Misc.
11139, CGI abuses
11140,Web Servers
11141,Web Servers
11142, CGI abuses : XSS
11143,Windows : Microsoft Bulletins
11144,Windows : Microsoft Bulletins
11145,Windows : Microsoft Bulletins
11146,Windows : Microsoft Bulletins
11147,Windows : Microsoft Bulletins
11148,Windows : Microsoft Bulletins
11149, Settings
11150, Web Servers
11151,CGI abuses
11152, DNS
11153, Service detection
11154,Service detection
11155, Web Servers
11156,Service detection
11157, Backdoors
11158,Netware
11159,Windows
11160,FTP
11161,Web Servers
11162,Web Servers
11163,CGI abuses
11164,Firewalls
11165,CGI abuses
11166,Web Servers
11167,Web Servers
11168, Gain a shell remotely
11169,Misc.
11170,Backdoors
11171,Web Servers
11173,CGI abuses
11174,Web Servers
11175, Denial of Service
11176,CGI abuses
11177,Windows : Microsoft Bulletins
11178,Windows : Microsoft Bulletins
11180,CGI abuses
11181,Web Servers
11182, CGI abuses
11183,Web Servers
11184,FTP
11185,FTP
11187,Backdoors
11188,Gain a shell remotely
11190,CGI abuses
11191,Windows : Microsoft Bulletins
11192,Databases
11193,Misc.
11194,Windows : Microsoft Bulletins
11195,Misc.
11196,Gain a shell remotely
11197,Misc.
